[0.000000] (-) TimerEvent: {}
[0.000614] (-) JobUnselected: {'identifier': 'd435i_xarm_setup'}
[0.000704] (-) JobUnselected: {'identifier': 'mbot_demo'}
[0.000746] (-) JobUnselected: {'identifier': 'my_robot_conroller'}
[0.000771] (-) JobUnselected: {'identifier': 'mycobot_bringup'}
[0.000919] (-) JobUnselected: {'identifier': 'mycobot_description'}
[0.000956] (-) JobUnselected: {'identifier': 'mycobot_interfaces'}
[0.000969] (-) JobUnselected: {'identifier': 'mycobot_moveit_config'}
[0.000979] (-) JobUnselected: {'identifier': 'mycobot_moveit_demos'}
[0.000987] (-) JobUnselected: {'identifier': 'mycobot_mtc_demos'}
[0.000995] (-) JobUnselected: {'identifier': 'mycobot_mtc_pick_place_demo'}
[0.001004] (-) JobUnselected: {'identifier': 'mycobot_ros2'}
[0.001012] (-) JobUnselected: {'identifier': 'mycobot_system_tests'}
[0.001021] (-) JobUnselected: {'identifier': 'realsense_gazebo_plugin'}
[0.001030] (-) JobUnselected: {'identifier': 'uf_ros_lib'}
[0.001038] (-) JobUnselected: {'identifier': 'xarm_api'}
[0.001046] (-) JobUnselected: {'identifier': 'xarm_controller'}
[0.001055] (-) JobUnselected: {'identifier': 'xarm_description'}
[0.001063] (-) JobUnselected: {'identifier': 'xarm_gazebo'}
[0.001071] (-) JobUnselected: {'identifier': 'xarm_moveit_config'}
[0.001468] (-) JobUnselected: {'identifier': 'xarm_moveit_servo'}
[0.001513] (-) JobUnselected: {'identifier': 'xarm_msgs'}
[0.001524] (-) JobUnselected: {'identifier': 'xarm_planner'}
[0.001533] (-) JobUnselected: {'identifier': 'xarm_sdk'}
[0.001543] (mycobot_gazebo) JobQueued: {'identifier': 'mycobot_gazebo', 'dependencies': OrderedDict()}
[0.109897] (mycobot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/alberto/ros2_ws/install/mycobot_gazebo/share/mycobot_gazebo/config/ros_gz_bridge.yaml\n'}
[0.109947] (mycobot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/alberto/ros2_ws/install/mycobot_gazebo/share/mycobot_gazebo/launch\n'}
[0.109994] (mycobot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/alberto/ros2_ws/install/mycobot_gazebo/share/mycobot_gazebo/launch/double_robot_gazebo.launch.py\n'}
[0.110042] (mycobot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/alberto/ros2_ws/install/mycobot_gazebo/share/mycobot_gazebo/launch/Respaldo - mycobot.gazebo.launch.py\n'}
[0.110151] (mycobot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/alberto/ros2_ws/install/mycobot_gazebo/share/mycobot_gazebo/launch/mycobot.gazebo.launch.py\n'}
[0.110281] (mycobot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/alberto/ros2_ws/install/mycobot_gazebo/share/mycobot_gazebo/launch/dos_robots.launch.py\n'}
[0.110325] (mycobot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/alberto/ros2_ws/install/mycobot_gazebo/share/mycobot_gazebo/models\n'}
[0.110369] (mycobot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/alberto/ros2_ws/install/mycobot_gazebo/share/mycobot_gazebo/models/aws_robomaker_residential_Pillow_01\n'}
[0.110414] (mycobot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/alberto/ros2_ws/install/mycobot_gazebo/share/mycobot_gazebo/models/aws_robomaker_residential_Pillow_01/materials\n'}
[0.110458] (mycobot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/alberto/ros2_ws/install/mycobot_gazebo/share/mycobot_gazebo/models/aws_robomaker_residential_Pillow_01/materials/textures\n'}
[0.110502] (mycobot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/alberto/ros2_ws/install/mycobot_gazebo/share/mycobot_gazebo/models/aws_robomaker_residential_Pillow_01/materials/textures/aws_Pillow_01.png\n'}
[0.110544] (mycobot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/alberto/ros2_ws/install/mycobot_gazebo/share/mycobot_gazebo/models/aws_robomaker_residential_Pillow_01/model.config\n'}
[0.110586] (mycobot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/alberto/ros2_ws/install/mycobot_gazebo/share/mycobot_gazebo/models/aws_robomaker_residential_Pillow_01/model.sdf\n'}
[0.110627] (mycobot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/alberto/ros2_ws/install/mycobot_gazebo/share/mycobot_gazebo/models/aws_robomaker_residential_Pillow_01/meshes\n'}
[0.110668] (mycobot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/alberto/ros2_ws/install/mycobot_gazebo/share/mycobot_gazebo/models/aws_robomaker_residential_Pillow_01/meshes/aws_Pillow_01_collision.DAE\n'}
[0.110716] (mycobot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/alberto/ros2_ws/install/mycobot_gazebo/share/mycobot_gazebo/models/aws_robomaker_residential_Pillow_01/meshes/aws_Pillow_01_visual.DAE\n'}
[0.110761] (mycobot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/alberto/ros2_ws/install/mycobot_gazebo/share/mycobot_gazebo/models/cardboard_box\n'}
[0.110803] (mycobot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/alberto/ros2_ws/install/mycobot_gazebo/share/mycobot_gazebo/models/cardboard_box/materials\n'}
[0.110844] (mycobot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/alberto/ros2_ws/install/mycobot_gazebo/share/mycobot_gazebo/models/cardboard_box/materials/textures\n'}
[0.110888] (mycobot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/alberto/ros2_ws/install/mycobot_gazebo/share/mycobot_gazebo/models/cardboard_box/materials/textures/cardboard_box.png\n'}
[0.110932] (mycobot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/alberto/ros2_ws/install/mycobot_gazebo/share/mycobot_gazebo/models/cardboard_box/model.config\n'}
[0.110972] (mycobot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/alberto/ros2_ws/install/mycobot_gazebo/share/mycobot_gazebo/models/cardboard_box/model.sdf\n'}
[0.111014] (mycobot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/alberto/ros2_ws/install/mycobot_gazebo/share/mycobot_gazebo/models/cardboard_box/meshes\n'}
[0.111055] (mycobot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/alberto/ros2_ws/install/mycobot_gazebo/share/mycobot_gazebo/models/cardboard_box/meshes/cardboard_box.png\n'}
[0.111100] (mycobot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/alberto/ros2_ws/install/mycobot_gazebo/share/mycobot_gazebo/models/cardboard_box/meshes/cardboard_box.dae\n'}
[0.111144] (mycobot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/alberto/ros2_ws/install/mycobot_gazebo/share/mycobot_gazebo/models/aws_robomaker_residential_DeskPortraitA_01\n'}
[0.111190] (mycobot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/alberto/ros2_ws/install/mycobot_gazebo/share/mycobot_gazebo/models/aws_robomaker_residential_DeskPortraitA_01/materials\n'}
[0.111232] (mycobot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/alberto/ros2_ws/install/mycobot_gazebo/share/mycobot_gazebo/models/aws_robomaker_residential_DeskPortraitA_01/materials/textures\n'}
